[2018-10-10 15:46:07:0004] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-11-02 14:12:51:0956] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[50157], devIP[c0a8000b]
[2018-11-02 14:12:51:0957] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-11-02 14:12:51:0957] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:12:51:0959] | GigEVisionManager.cpp-L2740: event thread start...
[2018-11-02 14:12:52:0190] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:12:52:0351] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-11-02 14:12:52:0374] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[20980]
[2018-11-02 14:13:17:0101] | GigEVisionManager.cpp-L4450: Lost Frame From Net[281], Total Frame Count[282], NetCount[1], CurBlock[282], LastBlock[0]
[2018-11-02 14:21:00:0283] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-11-02 14:21:00:0283] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-11-02 14:21:00:0283] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:21:00:0283] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:21:00:0283] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[50169], devIP[c0a8000b]
[2018-11-02 14:21:00:0284] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-11-02 14:21:00:0284] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:21:00:0285] | GigEVisionManager.cpp-L2740: event thread start...
[2018-11-02 14:21:00:0518] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:21:00:0663] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-11-02 14:21:00:0672] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[5364]
[2018-11-02 14:21:45:0666] | GigEVisionManager.cpp-L4450: Lost Frame From Net[460], Total Frame Count[461], NetCount[1], CurBlock[461], LastBlock[0]
[2018-11-02 14:23:40:0264] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-11-02 14:23:40:0264] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-11-02 14:23:40:0265] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:23:40:0265] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:23:40:0265] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[50182], devIP[c0a8000b]
[2018-11-02 14:23:40:0266] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-11-02 14:23:40:0266] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:23:40:0267] | GigEVisionManager.cpp-L2740: event thread start...
[2018-11-02 14:23:40:0496] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:23:40:0640] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-11-02 14:23:40:0649] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[12292]
[2018-11-02 14:24:14:0549] | GigEVisionManager.cpp-L4450: Lost Frame From Net[472], Total Frame Count[473], NetCount[1], CurBlock[473], LastBlock[0]
[2018-11-02 14:26:21:0905] | GigEVisionManager.cpp-L2279: AppGetCount[1636], AppGetCountSucceed[56], ExpectRecv[528], NetRecv[56], ThrowAbnormalImage[0], NetLostFrame[472], ThrowInBufList[0], LostPackets[0]
[2018-11-02 14:26:22:0018] | GigEVisionManager.cpp-L2279: AppGetCount[1636], AppGetCountSucceed[56], ExpectRecv[528], NetRecv[56], ThrowAbnormalImage[0], NetLostFrame[472], ThrowInBufList[0], LostPackets[0]
[2018-11-02 14:26:22:0018] | GigEVisionManager.cpp-L0898: disconnect device ...
[2018-11-02 14:26:22:0031] | GigEVisionManager.cpp-L2279: AppGetCount[1636], AppGetCountSucceed[56], ExpectRecv[528], NetRecv[56], ThrowAbnormalImage[0], NetLostFrame[472], ThrowInBufList[0], LostPackets[0]
[2018-11-02 14:26:22:0031] | GigEVisionManager.cpp-L2678: SendRsdCmd thread stop
[2018-11-02 14:26:22:0081] | GigEVisionManager.cpp-L2811: event thread stop
[2018-11-02 14:26:22:0712] |   GigEVisionGVSP.cpp-L0416: [socket] NearBID[0], LastBID[0], output[0]
[2018-11-02 14:37:56:0592] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-11-02 14:37:56:0592] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-11-02 14:37:56:0592] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:37:56:0592] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:37:56:0592] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[57713], devIP[c0a8000b]
[2018-11-02 14:37:56:0593] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-11-02 14:37:56:0594] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:37:56:0595] | GigEVisionManager.cpp-L2740: event thread start...
[2018-11-02 14:37:56:0822] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-11-02 14:37:56:0969] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-11-02 14:37:56:0977] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[6328]
